,0,1,2,3,4,5,6
201,26.0,2.0,5.0,4.0,3.0,2.0,4.0
202,26.0,3.0,4.0,4.0,3.0,2.0,4.0
203,26.0,3.0,5.0,6.0,3.0,2.0,4.0
204,26.0,3.0,5.0,4.0,6.0,2.0,4.0
205,26.0,3.0,5.0,4.0,3.0,4.0,4.0
206,26.0,3.0,5.0,4.0,3.0,2.0,4.0
207,26.0,3.0,5.0,4.0,3.0,2.0,4.0
208,94.0,3.0,2.0,2.0,3.0,9.0,1.0
209,71.0,3.0,2.0,2.0,3.0,9.0,1.0
210,94.0,2.0,2.0,2.0,3.0,9.0,1.0
211,94.0,3.0,2.0,2.0,3.0,9.0,1.0
212,94.0,3.0,2.0,9.0,3.0,9.0,1.0
213,94.0,3.0,2.0,2.0,5.0,9.0,1.0
214,94.0,3.0,2.0,2.0,3.0,6.0,1.0
215,94.0,3.0,2.0,2.0,3.0,9.0,2.0
216,94.0,2.0,2.0,9.0,5.0,6.0,2.0
217,71.0,3.0,2.0,9.0,5.0,6.0,2.0
218,71.0,2.0,2.0,9.0,5.0,6.0,2.0
219,71.0,2.0,2.0,2.0,5.0,6.0,2.0
220,71.0,2.0,2.0,9.0,3.0,6.0,2.0
221,71.0,2.0,2.0,9.0,5.0,9.0,2.0
222,71.0,2.0,2.0,9.0,5.0,6.0,1.0
223,71.0,2.0,2.0,9.0,5.0,6.0,2.0
224,72.0,1.0,6.0,8.0,2.0,7.0,5.0
225,94.0,1.0,6.0,8.0,2.0,7.0,5.0
226,72.0,1.0,6.0,8.0,2.0,7.0,5.0
227,72.0,1.0,1.0,8.0,2.0,7.0,5.0
228,72.0,1.0,6.0,7.0,2.0,7.0,5.0
229,72.0,1.0,6.0,8.0,4.0,7.0,5.0
230,72.0,1.0,6.0,8.0,2.0,4.0,5.0
231,72.0,1.0,6.0,8.0,2.0,7.0,5.0
232,72.0,1.0,1.0,7.0,4.0,4.0,5.0
233,94.0,1.0,1.0,7.0,4.0,4.0,5.0
234,94.0,1.0,6.0,7.0,4.0,4.0,5.0
235,94.0,1.0,1.0,8.0,4.0,4.0,5.0
236,94.0,1.0,1.0,7.0,2.0,4.0,5.0
237,94.0,1.0,1.0,7.0,4.0,7.0,5.0
238,94.0,1.0,1.0,7.0,4.0,4.0,5.0
239,94.0,1.0,1.0,7.0,4.0,4.0,5.0
240,27.0,2.0,3.0,4.0,5.0,2.0,3.0
241,49.0,2.0,3.0,4.0,5.0,2.0,3.0
242,27.0,2.0,3.0,4.0,5.0,2.0,3.0
243,27.0,2.0,4.0,4.0,5.0,2.0,3.0
244,27.0,2.0,3.0,2.0,5.0,2.0,3.0
245,27.0,2.0,3.0,4.0,1.0,2.0,3.0
246,27.0,2.0,3.0,4.0,5.0,8.0,3.0
247,27.0,2.0,3.0,4.0,5.0,2.0,3.0
248,27.0,2.0,4.0,2.0,1.0,8.0,3.0
249,49.0,2.0,4.0,2.0,1.0,8.0,3.0
250,49.0,2.0,3.0,2.0,1.0,8.0,3.0
251,49.0,2.0,4.0,4.0,1.0,8.0,3.0
252,49.0,2.0,4.0,2.0,5.0,8.0,3.0
253,49.0,2.0,4.0,2.0,1.0,2.0,3.0
254,49.0,2.0,4.0,2.0,1.0,8.0,3.0
255,49.0,2.0,4.0,2.0,1.0,8.0,3.0
256,21.0,2.0,6.0,1.0,1.0,2.0,4.0
257,32.0,2.0,6.0,1.0,1.0,2.0,4.0
258,21.0,3.0,6.0,1.0,1.0,2.0,4.0
259,21.0,2.0,2.0,1.0,1.0,2.0,4.0
260,21.0,2.0,6.0,1.0,1.0,2.0,4.0
261,21.0,2.0,6.0,1.0,2.0,2.0,4.0
262,21.0,2.0,6.0,1.0,1.0,6.0,4.0
263,21.0,2.0,6.0,1.0,1.0,2.0,5.0
264,21.0,3.0,2.0,1.0,2.0,6.0,5.0
265,32.0,2.0,2.0,1.0,2.0,6.0,5.0
266,32.0,3.0,6.0,1.0,2.0,6.0,5.0
267,32.0,3.0,2.0,1.0,2.0,6.0,5.0
268,32.0,3.0,2.0,1.0,1.0,6.0,5.0
269,32.0,3.0,2.0,1.0,2.0,2.0,5.0
270,32.0,3.0,2.0,1.0,2.0,6.0,4.0
271,32.0,3.0,2.0,1.0,2.0,6.0,5.0
272,66.0,3.0,3.0,6.0,4.0,6.0,1.0
273,77.0,3.0,3.0,6.0,4.0,6.0,1.0
274,66.0,2.0,3.0,6.0,4.0,6.0,1.0
275,66.0,3.0,5.0,6.0,4.0,6.0,1.0
276,66.0,3.0,3.0,6.0,4.0,6.0,1.0
277,66.0,3.0,3.0,6.0,4.0,6.0,1.0
278,66.0,3.0,3.0,6.0,4.0,1.0,1.0
279,66.0,3.0,3.0,6.0,4.0,6.0,2.0
280,66.0,2.0,5.0,6.0,4.0,1.0,2.0
281,77.0,3.0,5.0,6.0,4.0,1.0,2.0
282,77.0,2.0,3.0,6.0,4.0,1.0,2.0
283,77.0,2.0,5.0,6.0,4.0,1.0,2.0
284,77.0,2.0,5.0,6.0,4.0,1.0,2.0
285,77.0,2.0,5.0,6.0,4.0,6.0,2.0
286,77.0,2.0,5.0,6.0,4.0,1.0,1.0
287,77.0,2.0,5.0,6.0,4.0,1.0,2.0
288,89.0,1.0,5.0,3.0,5.0,8.0,5.0
289,99.0,1.0,5.0,3.0,5.0,8.0,5.0
290,89.0,1.0,5.0,3.0,5.0,8.0,5.0
291,89.0,1.0,6.0,3.0,5.0,8.0,5.0
292,89.0,1.0,5.0,8.0,5.0,8.0,5.0
293,89.0,1.0,5.0,3.0,6.0,8.0,5.0
294,89.0,1.0,5.0,3.0,5.0,8.0,5.0
295,89.0,1.0,5.0,3.0,5.0,8.0,4.0
296,89.0,1.0,6.0,8.0,6.0,8.0,4.0
297,99.0,1.0,6.0,8.0,6.0,8.0,4.0
298,99.0,1.0,5.0,8.0,6.0,8.0,4.0
299,99.0,1.0,6.0,3.0,6.0,8.0,4.0
300,99.0,1.0,6.0,8.0,5.0,8.0,4.0
301,99.0,1.0,6.0,8.0,6.0,8.0,4.0
302,99.0,1.0,6.0,8.0,6.0,8.0,5.0
303,99.0,1.0,6.0,8.0,6.0,8.0,4.0
304,44.0,2.0,2.0,8.0,3.0,4.0,2.0
305,54.0,2.0,2.0,8.0,3.0,4.0,2.0
306,44.0,2.0,2.0,8.0,3.0,4.0,2.0
307,44.0,2.0,3.0,8.0,3.0,4.0,2.0
308,44.0,2.0,2.0,4.0,3.0,4.0,2.0
309,44.0,2.0,2.0,8.0,3.0,4.0,2.0
310,44.0,2.0,2.0,8.0,3.0,3.0,2.0
311,44.0,2.0,2.0,8.0,3.0,4.0,1.0
312,44.0,2.0,3.0,4.0,3.0,3.0,1.0
313,54.0,2.0,3.0,4.0,3.0,3.0,1.0
314,54.0,2.0,2.0,4.0,3.0,3.0,1.0
315,54.0,2.0,3.0,8.0,3.0,3.0,1.0
316,54.0,2.0,3.0,4.0,3.0,3.0,1.0
317,54.0,2.0,3.0,4.0,3.0,4.0,1.0
318,54.0,2.0,3.0,4.0,3.0,3.0,2.0
319,54.0,2.0,3.0,4.0,3.0,3.0,1.0
